keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Benny Blanco',de,USA,#18e8e8,#18e8e8,2,0.417700357466
'Ayatollah Khomeini',de,Iran,#11bb99,#11bb99,1,0.416422781093
'Jack Antonoff',de,USA,#18e8e8,#18e8e8,2,0.413828906244
'Victoria Beckham',de,UK,#e838e8,#e838e8,2,0.413425382748
'Wolfram Weimer',de,Deutschland,#11dd44,#11dd44,3,0.412648994865
'Callum Turner',de,UK,#e838e8,#e838e8,2,0.411471887942
'László Krasznahorkai',de,Ungarn,#33aa99,#33aa99,2,0.411320517426
'Bill Maher',de,unknown,#111111,#111111,2,0.411306168503
'Olaf Scholz',de,Deutschland,#11dd44,#11dd44,3,0.410919867639
'JD Vance',de,USA,#18e8e8,#18e8e8,3,0.410623795526
'Olivier Faure',de,Frankreich,#e8e808,#e8e808,3,0.409840249192
'Lauren Boebert',de,USA,#18e8e8,#18e8e8,2,0.408984767319
'Karsten Wildberger',de,Deutschland,#11dd44,#11dd44,3,0.408301256720
'Michel Devoret',de,Frankreich,#e8e808,#e8e808,2,0.405261188409
'Jimmy Kimmel',de,USA,#18e8e8,#18e8e8,3,0.405148093605
'Jake Paul',de,USA,#18e8e8,#18e8e8,1,0.403801314837
'Thorsten Frei',de,Deutschland,#11dd44,#11dd44,3,0.403157311832
